2026-03-16 15:33:47.921 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2026-03-16 15:33:48.116 INFO  [main] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2026-03-16 15:33:48.301 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-16 15:33:49.047 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-16 15:33:49.078 INFO  [main] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2026-03-16 15:33:50.068 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2026-03-16 15:33:50.082 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-16 15:33:51.330 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@202fd4c4, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3b72860c, org.springframework.security.web.context.SecurityContextPersistenceFilter@55ff64fd, org.springframework.security.web.header.HeaderWriterFilter@519a81dd, org.springframework.web.filter.CorsFilter@7f1b2f07, org.springframework.security.web.authentication.logout.LogoutFilter@580e01cd, com.example.learningplan.config.JwtAuthFilter@4efa7d2f, com.example.learningplan.config.OpLogFilter@5bed0ff4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@445c693, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@9d2c0ed, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@674d2b8b, org.springframework.security.web.session.SessionManagementFilter@7ec176da, org.springframework.security.web.access.ExceptionTranslationFilter@4e9d203e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@69e308e2]
2026-03-16 15:33:51.775 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-16 15:33:51.783 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-03-16 15:33:51.784 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-03-16 15:33:51.792 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
